,sample,Rhe_100.00,Rhe_3.16,Rhe_0.10,Rhe_Crossover,Rhe_Log
0,11.0,0.0,0.0,0.0,0.0,0.0
1,14.0,0.0,0.0,0.0,0.0,0.0
2,10.0,0.0,0.0,0.0,0.0,0.0
3,4.0,0.0,0.0,0.0,0.0,0.0
4,13.0,0.0,0.0,0.0,0.0,0.0
5,21.0,0.0,0.0,0.0,0.0,0.0
6,23.0,0.0,0.0,0.0,0.0,0.0
7,18.0,0.0,0.0,0.0,0.0,0.0
8,22.0,0.0,0.0,0.0,0.0,0.0
9,20.0,0.0,0.0,0.0,0.0,0.0
10,2.0,0.0,0.0,0.0,0.0,0.0
11,3.0,0.0,0.0,0.0,0.0,0.0
12,17.0,0.0,0.0,0.0,0.0,0.0
13,16.0,0.0,0.0,0.0,0.0,0.0
14,19.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0,0.0,0.0
16,15.0,0.0,0.0,0.0,0.0,0.0
17,12.0,0.0,0.0,0.0,0.0,0.0
18,6.0,0.0,0.0,0.0,0.0,0.0
19,5.0,0.0,0.0,0.0,0.0,0.0
20,7.0,0.0,0.0,0.0,0.0,0.0
21,9.0,0.0,0.0,0.0,0.0,0.0
22,8.0,0.0,0.0,0.0,0.0,0.0
23,24.0,0.0,0.0,0.0,0.0,0.0
