,Colour_L*,Colour_a*,Colour_b*,Colour_DeltaE,Colour_DeltaL
0,70.0,-1.97,2.62,7.075027932807049,4.419499999999999
1,72.26,-2.05,1.93,5.318324947763156,2.159499999999994
2,71.88,-2.07,2.18,5.705574489041398,2.539500000000004
3,70.84,-2.17,2.58,6.57988907581275,3.579499999999996
4,71.15,-2.11,1.7,5.68254082695408,3.2694999999999936
5,92.74,-1.16,4.27,19.64975114982375,18.320499999999996
6,92.56,-1.19,3.77,19.3054645178509,18.140500000000003
7,93.1,-1.23,3.84,19.83742725884584,18.680499999999995
8,93.05,-1.22,3.73,19.753456665859773,18.630499999999998
9,92.89,-1.32,3.74,19.60690363749463,18.4705
10,88.47,-2.58,2.76,15.196560474331026,14.0505
11,88.39,-2.56,1.49,14.698252625737524,13.970500000000001
12,87.31,-2.3,3.56,14.440123623085784,12.890500000000003
13,88.82,-2.69,2.03,15.283955647998978,14.400499999999994
14,88.81,-2.55,2.27,15.338668464048634,14.390500000000003
15,37.66,-0.42,-3.0,36.76594375573678,36.7595
16,37.63,-0.44,-3.08,36.79602872933437,36.7895
17,37.75,-0.47,-3.03,36.67523101835897,36.6695
18,37.6,-0.45,-3.02,36.825496877163786,36.8195
19,37.74,-0.45,-3.05,36.685684132233376,36.6795
20,87.09,-0.44,5.55,15.207002671466856,12.670500000000004
21,87.06,-0.43,5.69,15.260202497018186,12.640500000000003
22,86.79,-0.36,6.34,15.41822072257367,12.370500000000007
23,86.79,-0.36,6.35,15.424172919479352,12.370500000000007
24,87.37,-0.34,5.85,15.610471173222162,12.950500000000005
25,68.7,-0.08,8.4,12.646402660440634,5.7194999999999965
26,68.9,-0.07,8.63,12.76418819392757,5.519499999999994
27,68.91,-0.04,9.05,13.14086565831947,5.509500000000003
28,68.19,0.08,10.07,14.3765124508693,6.229500000000002
29,68.77,0.01,9.7,13.792157563267612,5.649500000000003
30,68.31,-0.16,6.42,11.127609368143723,6.109499999999997
31,68.92,-0.33,6.16,10.56934720074991,5.499499999999998
32,68.72,-0.21,6.15,10.675553393150166,5.6995000000000005
33,68.23,-0.24,7.15,11.777489980891511,6.189499999999995
34,68.22,-0.06,7.42,12.02643339689702,6.1995000000000005
35,86.94,-1.0,8.78,17.077929038674448,12.520499999999998
36,86.63,-0.96,8.27,16.50489352434604,12.210499999999996
37,86.79,-0.74,8.32,16.660194784275486,12.370500000000007
38,87.08,-1.02,8.65,17.093131376374547,12.660499999999999
39,86.64,-0.97,8.32,16.545883483513354,12.220500000000001
40,87.31,-0.44,4.95,15.072343887066804,12.890500000000003
41,88.04,-0.4,5.85,16.16796895871588,13.620500000000007
42,87.52,-0.31,6.4,16.046655110956923,13.100499999999997
43,88.07,-0.36,5.79,16.162905377746906,13.650499999999994
44,87.37,-0.26,5.78,15.575687151776005,12.950500000000005
45,48.88,-0.3,-5.92,25.73733475420483,25.539499999999997
46,47.82,0.77,-6.14,26.86847967879835,26.5995
47,48.01,0.98,-6.32,26.718729577769974,26.4095
48,48.89,-0.81,-5.98,25.724112623179053,25.5295
49,47.83,0.74,-6.15,26.857754006059405,26.5895
50,60.46,-2.33,5.52,16.315621969450014,13.959499999999998
51,60.84,-2.31,5.0,15.724746746768288,13.579499999999996
52,61.11,-2.62,4.69,15.365558572665037,13.3095
53,60.81,-2.17,5.23,15.856144242847941,13.609499999999997
54,60.28,-2.39,5.42,16.424042749883476,14.139499999999998
55,74.72,-1.83,1.8,4.702639710843261,0.30049999999999955
56,74.32,-1.97,2.43,5.338306871096864,0.09950000000000614
