,sample,Colour_L*,Colour_a*,Colour_b*
0,1.0,71.226,-2.074,2.202
1,2.0,92.868,-1.224,3.87
2,3.0,88.36,-2.536,2.4219999999999997
3,4.0,37.676,-0.446,-3.036
4,5.0,87.02000000000001,-0.386,5.956
5,6.0,68.694,-0.020000000000000007,9.170000000000002
6,7.0,68.47999999999999,-0.2,6.660000000000001
7,8.0,86.816,-0.9380000000000001,8.468
8,9.0,87.662,-0.35400000000000004,5.7540000000000004
9,10.0,48.286,0.27599999999999997,-6.101999999999999
10,11.0,60.7,-2.364,5.172
11,12.0,74.502,-1.85,2.066
12,13.0,63.782000000000004,-10.239999999999998,17.124000000000002
13,14.0,60.592000000000006,-2.468,5.970000000000001
14,15.0,75.41,-3.232,2.402
15,16.0,72.122,-1.0740000000000003,-2.788
16,17.0,76.502,-1.078,-3.572
17,18.0,46.594,-1.786,-1.548
18,19.0,74.342,-1.18,-2.18
19,20.0,53.138,-5.392,-0.266
20,21.0,51.854,-4.776000000000001,-5.04
21,22.0,29.204,-0.12,-1.85
22,23.0,27.65,-0.008,-1.212
23,24.0,74.71199999999999,-1.02,-2.7960000000000003
