,sample,SAXS_LP,SAXS_A,SAXS_Xc,SAXS_lc,SAXS_la,SAXS_TMF,SAXS_MP,SAXS_Crystallinity,SAXS_MW,SAXS_0SV,SAXS_V_at_MS,SAXS_AI,SAXS_AC,SAXS_t
0,1.0,284.0,52.0,0.758653065805732,215.457470688828,68.5425293111721,0.301,131.38,0.7,1094300.0,1706400000.0,740.01,2.3,7.23,0.43
1,2.0,312.0,62.0,0.726455406828919,226.654086930623,85.3459130693773,0.2902,131.15,0.47,1001800.0,1263700000.0,731.95,2.19,3.87,0.48
2,3.0,348.0,65.0,0.751432676485372,261.498571416909,86.5014285830905,0.2869,132.38,0.65,1205700.0,2372400000.0,727.27,2.15,7.16,0.39
3,4.0,408.0,70.0,0.780056016805602,318.262854856686,89.7371451433144,0.1625,131.2,0.66,509610.0,126940000.0,651.82,2.18,4.59,0.45
4,5.0,300.0,60.0,0.723606797749979,217.082039324994,82.9179606750063,0.2941,130.7,0.83,998050.0,1247600000.0,648.68,2.11,3.28,0.51
5,6.0,289.0,51.0,0.77116307227332,222.866127886989,66.1338721130105,0.294,130.55,0.73,975470.0,1154300000.0,852.95,2.2,3.21,0.54
6,7.0,298.0,54.0,0.762282188317706,227.160092118676,70.8399078813236,0.2856,130.73,0.6,875180.0,798180000.0,862.26,2.23,4.7,0.48
7,8.0,285.0,57.0,0.723606797749979,206.227937358744,78.772062641256,0.3187,130.41,0.55,2090900.0,15422000000.0,1373.5,2.34,4.53,0.5
8,9.0,309.0,61.0,0.729322909373996,225.360778996565,83.6392210034352,0.3013,130.9,0.6,1261800.0,2768700000.0,865.79,2.2,3.01,0.63
9,10.0,314.0,58.0,0.755512473675595,237.230916734137,76.7690832658632,0.2786,130.33,0.49,860340.0,753100000.0,769.15,2.26,4.63,0.49
10,11.0,278.0,52.0,0.750897668956429,208.749551969887,69.2504480301127,0.277,131.39,0.64,654170.0,296700000.0,752.57,2.21,5.3,0.46
11,12.0,288.0,56.0,0.735702260395516,211.882250993909,76.1177490060914,0.3154,131.19,0.66,1805400.0,9361500000.0,821.85,2.22,5.07,0.48
12,13.0,290.0,58.0,0.723606797749979,209.845971347494,80.1540286525061,0.2965,130.55,0.511,983860.0,1188300000.0,816.62,2.19,3.6,0.57
13,15.0,307.0,52.0,0.783934662392853,240.667941354606,66.3320586453941,0.2794,132.35,0.67,859910.0,751820000.0,781.23,2.34,11.63,0.35
14,16.0,287.0,52.0,0.762326763808905,218.787781213156,68.2122187868443,0.2568,130.0,0.6,516930.0,133240000.0,810.76,2.58,12.54,2.13
15,17.0,270.0,50.0,0.754587538608658,203.738635424338,66.2613645756623,0.3161,131.27,0.49,1672700.0,7221400000.0,982.84,2.51,12.9,0.36
16,18.0,303.0,59.0,0.735118115109843,222.740788878282,80.2592111217176,0.3298,130.75,0.59,33024000.0,183220000000000.0,678.77,2.35,7.79,0.38
17,19.0,272.0,52.0,0.742535625036333,201.969690009883,70.0303099901174,0.2533,130.77,0.8,458320.0,88501000.0,694.5,2.34,1.0,1.0
18,20.0,299.0,58.0,0.736685586569255,220.268990384207,78.7310096157928,0.3157,130.99,0.58,1969900.0,12591000000.0,903.93,2.0,4.32,0.23
19,21.0,300.0,58.0,0.738047614284762,221.414284285429,78.5857157145714,0.3289,130.49,0.55,11546000.0,5143800000000.0,699.92,2.17,5.27,0.47
20,22.0,312.0,60.0,0.740192230707631,230.939975980781,81.0600240192191,0.3169,130.96,0.66,2300800.0,21347000000.0,795.46,2.31,5.02,0.52
21,23.0,312.0,60.0,0.740192230707631,230.939975980781,81.0600240192191,0.3262,130.55,0.41,5456300.0,402170000000.0,753.99,2.3,3.16,0.56
