,sample,TLS_3mm,TLS_Max
0,1.0,255.66664800000004,458.51226800000006
1,3.0,239.257748,437.81126400000005
2,6.0,254.407626,460.980858
3,8.0,241.10895599999998,444.8695799999999
4,9.0,234.36629299999998,422.17323
5,12.0,260.485818,475.5683499999999
6,13.0,230.738047,415.524088
7,15.0,270.00828,483.4905710000001
8,17.0,259.67798,444.220352
9,18.0,253.493986,474.218154
10,20.0,259.17139399999996,476.29160600000006
11,24.0,256.3931988888889,450.78205333333335
12,25.0,288.82295600000003,518.7117339999999
